leaf_incidence,cone_incidence
0.00341,0.006229
0.01378,0.0361
0.19067,0.195861
0.00656,0.012306
0.04867,0.030195
0.04617,0.025773
0.00213,0.001676
0.00148,0.008768
0.00279,0.002711
0.24113,0.163122
0.34598,0.261993
0.004,0.009387
0.07883,0.059399
0.31508,0.415691
0.00564,0.00868
0.02133,0.09725
0.00467,0.0555
0.00783,0.046519
0.00859,0.027864
0.00341,0.03282
0.00767,0.012233
0.00533,0.062228
0.02291,0.04338
0.00296,0.000333
0.00385,0.02034
0.003,0.009333
0.00476,0.002346
0.003314,0.012262
0.008091,
0.006994,0.037909
0.002706,0.017002
0.003608,0.004333
0.00237,0.007907
0.000111,0
0,0.000222
0.008825,0.018095
0.015156,
0.000549,
0.026846,
0.003661,0.001829
0.000741,0.001336
0.027655,0.015288
0,
0.218,0.0968
0.3262,0.1848
0.1504,0.1611
0.07,0.1201
0.1024,0.0355
0.1911,0.27
0.489,0.3103
