Month,Temperature,Wind Speed,Precipitation
1,-3.778458781362007,11.028745519713262,2.421111111111111
2,-2.861904761904762,12.358333333333334,2.535714285714286
3,2.138709677419355,13.69247311827957,2.9903225806451617
4,8.922222222222222,13.005555555555555,3.718888888888889
5,15.270967741935484,11.569892473118278,2.010752688172043
6,19.844444444444445,10.763333333333334,3.8444444444444446
7,22.41720430107527,9.48494623655914,6.567741935483871
8,22.106451612903225,9.32795698924731,4.41505376344086
9,17.634444444444444,8.958888888888888,3.867777777777778
10,12.215053763440858,9.25483870967742,3.933333333333333
11,4.372222222222223,10.99,2.3766666666666665
12,0.8225806451612901,10.659139784946236,3.988172043010753
